City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
413,richards bay,-28.783,32.0377,22.98,91,100,5.28,ZA,1675204256
414,meulaboh,4.1363,96.1285,23.46,83,100,2.84,ID,1675204256
415,jiazi,22.8779,116.067,16.37,77,100,3.61,CN,1675204195
416,emba,48.8264,58.1442,-15.93,82,1,3.32,KZ,1675204257
417,ous,60.9058,61.5186,-6.9,90,100,3.91,RU,1675204257
418,amnat charoen,15.9167,104.75,16.89,64,27,2.27,TH,1675204258
419,iqaluit,63.7506,-68.5145,-25.73,68,100,7.6,CA,1675204258
420,astorga,-23.2325,-51.6656,22.13,96,100,0.53,BR,1675204259
421,fuyang,32.9,115.8167,5.8,57,42,5.15,CN,1675204259
422,lappeenranta,61.0587,28.1887,-3.97,80,100,2.06,FI,1675204259
423,gander,48.9682,-54.5906,-4.91,92,100,2.68,CA,1675204243
424,ugoofaaru,5.6667,73.0,26.62,79,100,5.32,MV,1675204197
425,merauke,-8.4667,140.3333,27.91,80,98,3.05,ID,1675204260
426,praia,14.9215,-23.5087,21.3,73,40,9.77,CV,1675204169
427,kayerkan,69.3497,87.7602,-17.49,77,100,3.07,RU,1675204261
428,maltahohe,-24.8333,16.9833,23.02,23,49,2.45,NA,1675204261
429,mount isa,-20.7333,139.5,24.87,94,100,2.57,AU,1675204262
430,axim,4.8699,-2.2405,26.22,85,100,2.1,GH,1675204262
431,paka,4.6374,103.4368,22.96,100,100,0.0,MY,1675204263
432,uray,60.1247,64.7758,-6.61,93,100,4.47,RU,1675204263
433,cuamba,-14.8031,36.5372,20.12,97,93,0.39,MZ,1675204264
434,kibaya,-5.3,36.5667,13.96,95,18,1.51,TZ,1675204264
435,belaya gora,68.5333,146.4167,-23.05,99,100,1.96,RU,1675204265
436,gornozavodsk,58.3758,58.3211,-5.26,95,100,4.25,RU,1675204265
437,bryan,30.6744,-96.37,2.71,92,100,6.69,US,1675204268
438,bismarck,46.8083,-100.7837,-11.22,66,100,4.12,US,1675204063
439,nishihara,26.1842,127.7558,17.6,59,75,2.57,JP,1675204268
440,huilong,31.8111,121.655,7.18,66,93,3.81,CN,1675204269
441,aykhal,66.0,111.5,-34.95,100,88,2.53,RU,1675204269
442,rizhao,35.4275,119.4553,1.36,51,94,9.77,CN,1675204270
443,anadyr,64.75,177.4833,-2.72,92,100,13.0,RU,1675204270
444,muroto,33.2833,134.15,8.85,66,16,3.9,JP,1675204270
445,golyshmanovo,56.3979,68.3728,-13.78,91,36,3.6,RU,1675204271
446,coquimbo,-29.9533,-71.3436,19.85,77,20,5.14,CL,1675204271
447,bonavista,48.6499,-53.1147,-1.98,96,100,1.64,CA,1675204272
448,nizwa,22.9333,57.5333,16.25,56,8,0.27,OM,1675204272
449,sterling,39.0062,-77.4286,2.99,90,100,2.57,US,1675204272
450,augusto correa,-1.0217,-46.635,24.58,89,100,1.51,BR,1675203994
451,arawa,-6.2132,155.5367,28.96,75,96,1.61,PG,1675204273
452,tokur,53.1333,132.9,-38.68,100,98,1.17,RU,1675204273
453,aksarka,66.5606,67.7975,-10.47,94,100,6.24,RU,1675204274
454,gabu,12.2833,-14.2167,25.25,16,11,2.57,GW,1675204274
455,gorom-gorom,14.4439,-0.2361,22.98,5,98,4.31,BF,1675204275
456,kamenka,51.3223,42.7678,-1.09,97,100,3.93,RU,1675204275
457,fuling,29.7022,107.3919,10.95,63,0,1.32,CN,1675204276
458,acarau,-2.8856,-40.12,26.63,78,77,6.15,BR,1675204062
459,berezniki,59.4152,56.8124,-2.57,93,100,5.37,RU,1675204276
460,lodwar,3.1191,35.5973,28.06,39,12,1.24,KE,1675204277
461,san jose,37.3394,-121.895,16.91,20,20,2.57,US,1675204198
462,atar,20.5169,-13.0499,19.99,21,56,2.95,MR,1675204277
463,evensk,61.95,159.2333,-9.71,96,100,1.18,RU,1675204278
464,svetlyy,54.675,20.1347,1.03,94,100,9.38,RU,1675204278
465,sergeyevka,53.88,67.4158,-15.8,94,94,3.57,KZ,1675204278
466,sorland,67.667,12.6934,-0.08,63,82,5.33,NO,1675204279
467,tual,-5.6667,132.75,28.64,74,78,4.64,ID,1675204279
468,izhma,65.0083,53.9113,-4.33,88,100,5.83,RU,1675204280
469,ostrovnoy,68.0531,39.5131,-7.67,95,90,2.26,RU,1675204280
